slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
1851,AP/LDV/82P11/2022/LS82,Arunachal Pradesh,Dibang Valley LS-82 NH-13,28.615893,95.859914,Debris Slide NA,1851 AP/LDV/82P11/2022/LS82 Arunachal Pradesh Dibang Valley LS-82 NH-13 28.615893 95.859914 Debris Slide NA
1852,AR/US/82P04/2022/050,Arunachal Pradesh,Upper Siang Yingkiong road Slide 3 NH-513,28.617333,95.049556,Debris Slide NA,1852 AR/US/82P04/2022/050 Arunachal Pradesh Upper Siang Yingkiong road Slide 3 NH-513 28.617333 95.049556 Debris Slide NA
1853,AR/US/82P02/2022/062,Arunachal Pradesh,Upper Siang Yingkiong road Slide 5 NH-513,28.617667,95.056444,Soil Slide NA,1853 AR/US/82P02/2022/062 Arunachal Pradesh Upper Siang Yingkiong road Slide 5 NH-513 28.617667 95.056444 Soil Slide NA
1854,AP/DV/82P/14/2022/LS-105,Arunachal Pradesh,Dibang Valley  Annini slide  NN-313,28.618542,95.858124,Debris Slide NA,1854 AP/DV/82P/14/2022/LS-105 Arunachal Pradesh Dibang Valley  Annini slide  NN-313 28.618542 95.858124 Debris Slide NA
1855,AR/US/82P02/2022/063,Arunachal Pradesh,Upper Siang Yingkiong road Slide 6 NH-513,28.619917,95.057583,Debris Slide NA,1855 AR/US/82P02/2022/063 Arunachal Pradesh Upper Siang Yingkiong road Slide 6 NH-513 28.619917 95.057583 Debris Slide NA
1856,AP/DV/82P/14/2022/LS-106,Arunachal Pradesh,Dibang Valley  Annini Slide  NH- 313.,28.621593,95.855998,Debris Slide NA,1856 AP/DV/82P/14/2022/LS-106 Arunachal Pradesh Dibang Valley  Annini Slide  NH- 313. 28.621593 95.855998 Debris Slide NA
1857,AP/LDV/82P11/2022/LS81,Arunachal Pradesh,Dibang Valley LS-81 NH-13,28.62267,95.856377,Debris Slide NA,1857 AP/LDV/82P11/2022/LS81 Arunachal Pradesh Dibang Valley LS-81 NH-13 28.62267 95.856377 Debris Slide NA
1858,AR/US/82P04/2022/049,Arunachal Pradesh,Upper Siang Yingkiong road Slide 2 NH-513,28.622722,95.043528,Debris Slide NA,1858 AR/US/82P04/2022/049 Arunachal Pradesh Upper Siang Yingkiong road Slide 2 NH-513 28.622722 95.043528 Debris Slide NA
1859,AP/DV/82P/13/2022/LS-107,Arunachal Pradesh,Dibang Valley  Mipi Slide Anini to Mipi,28.625048,95.857251,Earth Slide NA,1859 AP/DV/82P/13/2022/LS-107 Arunachal Pradesh Dibang Valley  Mipi Slide Anini to Mipi 28.625048 95.857251 Earth Slide NA
1860,,Arunachal Pradesh,"Dibang Valley LS-40 NH-13, Pasighat bridge slide",28.625114,95.852703,Debris Slide NA,"1860 AP/E-Siang/82P8/2022/LS40 Arunachal Pradesh Dibang Valley LS-40 NH-13, Pasighat bridge slide 28.625114 95.852703 Debris Slide NA"
1861,AR/US/82P04/2022/048,Arunachal Pradesh,Upper Siang Yingkiong road Slide 1 NH-513,28.626972,95.035722,Debris Slide NA,1861 AR/US/82P04/2022/048 Arunachal Pradesh Upper Siang Yingkiong road Slide 1 NH-513 28.626972 95.035722 Debris Slide NA
1862,AP/DV/82P/13/2022/LS-108,Arunachal Pradesh,Dibang Valley  Mipi slide South of Mipi Village.,28.628208,95.85647,Earth Slide NA,1862 AP/DV/82P/13/2022/LS-108 Arunachal Pradesh Dibang Valley  Mipi slide South of Mipi Village. 28.628208 95.85647 Earth Slide NA
1863,AR/US/82P02/2022/074,Arunachal Pradesh,Upper Siang Yingkiong Slide 2 NH-513,28.632361,95.037917,Soil Slide NA,1863 AR/US/82P02/2022/074 Arunachal Pradesh Upper Siang Yingkiong Slide 2 NH-513 28.632361 95.037917 Soil Slide NA
1864,AR/US/82P02/2022/075,Arunachal Pradesh,Upper Siang Yingkiong Slide 3 NH-513,28.633861,95.023806,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1864 AR/US/82P02/2022/075 Arunachal Pradesh Upper Siang Yingkiong Slide 3 NH-513 28.633861 95.023806 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
1865,AP/LDV/82P11/2022/LS80,Arunachal Pradesh,Dibang Valley LS-80 NH-13,28.638336,95.856331,Debris Slide NA,1865 AP/LDV/82P11/2022/LS80 Arunachal Pradesh Dibang Valley LS-80 NH-13 28.638336 95.856331 Debris Slide NA
1866,AR/US/82P02/2022/073,Arunachal Pradesh,Upper Siang Yingkiong Slide 1 NH-513,28.639389,95.033639,Debris Slide NA,1866 AR/US/82P02/2022/073 Arunachal Pradesh Upper Siang Yingkiong Slide 1 NH-513 28.639389 95.033639 Debris Slide NA
1867,AR/USI/82L14/2022/31,Arunachal Pradesh,Upper Siang Yingkiong-Tuting Road Slide Yingkiong-Tuting Road,28.693837,94.973784,Debris Slide NA,1867 AR/USI/82L14/2022/31 Arunachal Pradesh Upper Siang Yingkiong-Tuting Road Slide Yingkiong-Tuting Road 28.693837 94.973784 Debris Slide NA
