date,lat,lon,rainfall_mm
2023-11-21,27.00,92.25,0.00
2023-11-21,27.00,92.50,0.00
2023-11-21,27.00,92.75,0.00
2023-11-21,27.00,93.00,0.00
2023-11-21,27.25,91.50,
2023-11-21,27.25,91.75,
2023-11-21,27.25,92.00,0.00
2023-11-21,27.25,92.25,0.00
2023-11-21,27.25,92.50,0.00
2023-11-21,27.25,92.75,0.00
2023-11-21,27.25,93.00,0.00
2023-11-21,27.50,91.50,
2023-11-21,27.50,91.75,0.00
2023-11-21,27.50,92.00,0.00
2023-11-21,27.50,92.25,0.00
2023-11-21,27.50,92.50,0.00
2023-11-21,27.50,92.75,0.00
2023-11-21,27.50,93.00,0.00
2023-11-21,27.75,91.50,0.00
2023-11-21,27.75,91.75,0.00
2023-11-21,27.75,92.00,0.00
2023-11-21,27.75,92.25,0.00
2023-11-21,27.75,92.50,0.00
2023-11-21,27.75,92.75,0.00
2023-11-21,27.75,93.00,0.00
2023-11-21,28.00,91.50,0.00
2023-11-21,28.00,91.75,0.00
2023-11-21,28.00,92.00,0.00
2023-11-21,28.00,92.25,0.00
2023-11-21,28.00,92.50,0.00
2023-11-21,28.00,92.75,0.00
2023-11-21,28.00,93.00,0.00
2023-11-22,25.75,91.50,0.00
2023-11-22,25.75,91.75,0.00
2023-11-22,25.75,92.00,0.00
2023-11-22,25.75,92.25,0.00
2023-11-22,25.75,92.50,0.00
2023-11-22,25.75,92.75,0.00
2023-11-22,25.75,93.00,0.00
2023-11-22,26.00,91.50,0.00
2023-11-22,26.00,91.75,0.00
2023-11-22,26.00,92.00,0.00
2023-11-22,26.00,92.25,0.00
2023-11-22,26.00,92.50,0.00
2023-11-22,26.00,92.75,0.00
2023-11-22,26.00,93.00,0.00
2023-11-22,26.25,91.50,0.00
2023-11-22,26.25,91.75,0.00
2023-11-22,26.25,92.00,0.00
2023-11-22,26.25,92.25,0.00
2023-11-22,26.25,92.50,0.24
2023-11-22,26.25,92.75,0.00
2023-11-22,26.25,93.00,0.00
2023-11-22,26.50,91.50,0.06
2023-11-22,26.50,91.75,0.23
2023-11-22,26.50,92.00,0.00
2023-11-22,26.50,92.25,0.43
2023-11-22,26.50,92.50,0.38
2023-11-22,26.50,92.75,0.38
2023-11-22,26.50,93.00,0.00
2023-11-22,26.75,91.50,0.52
2023-11-22,26.75,91.75,0.49
2023-11-22,26.75,92.00,0.01
2023-11-22,26.75,92.25,0.28
2023-11-22,26.75,92.50,1.71
2023-11-22,26.75,92.75,3.51
2023-11-22,26.75,93.00,0.00
2023-11-22,27.00,91.50,0.99
2023-11-22,27.00,91.75,0.05
2023-11-22,27.00,92.00,0.00
2023-11-22,27.00,92.25,14.96
2023-11-22,27.00,92.50,10.06
2023-11-22,27.00,92.75,4.14
2023-11-22,27.00,93.00,0.00
2023-11-22,27.25,91.50,
2023-11-22,27.25,91.75,
2023-11-22,27.25,92.00,0.20
2023-11-22,27.25,92.25,6.02
2023-11-22,27.25,92.50,2.08
2023-11-22,27.25,92.75,1.30
2023-11-22,27.25,93.00,0.00
2023-11-22,27.50,91.50,
2023-11-22,27.50,91.75,0.40
2023-11-22,27.50,92.00,1.13
2023-11-22,27.50,92.25,3.36
2023-11-22,27.50,92.50,1.92
2023-11-22,27.50,92.75,1.86
2023-11-22,27.50,93.00,0.00
2023-11-22,27.75,91.50,0.00
2023-11-22,27.75,91.75,0.32
2023-11-22,27.75,92.00,1.25
2023-11-22,27.75,92.25,3.47
2023-11-22,27.75,92.50,3.64
2023-11-22,27.75,92.75,1.03
2023-11-22,27.75,93.00,0.00
2023-11-22,28.00,91.50,0.00
2023-11-22,28.00,91.75,0.21
2023-11-22,28.00,92.00,0.00
2023-11-22,28.00,92.25,1.28
2023-11-22,28.00,92.50,2.35
2023-11-22,28.00,92.75,0.00
2023-11-22,28.00,93.00,0.00
2023-11-23,25.75,91.50,0.00
2023-11-23,25.75,91.75,0.00
2023-11-23,25.75,92.00,0.00
2023-11-23,25.75,92.25,0.00
2023-11-23,25.75,92.50,0.00
2023-11-23,25.75,92.75,0.00
2023-11-23,25.75,93.00,0.00
2023-11-23,26.00,91.50,0.00
2023-11-23,26.00,91.75,0.00
2023-11-23,26.00,92.00,0.00
2023-11-23,26.00,92.25,0.00
