slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
1480,,Arunachal Pradesh,"East Siang LS-8 Rengging, NH-13",28.099858,95.282975,Debris Slide NA,"1480 AP/E-Siang/82P8/2021/LS8 Arunachal Pradesh East Siang LS-8 Rengging, NH-13 28.099858 95.282975 Debris Slide NA"
1484,,Arunachal Pradesh,"East Siang  Rengging Slide, LS-9 NH-13",28.101031,95.282364,Debris Slide NA,"1484 AP/E-Siang/82P8/2021/LS9 Arunachal Pradesh East Siang  Rengging Slide, LS-9 NH-13 28.101031 95.282364 Debris Slide NA"
1485,,Arunachal Pradesh,"East Siang  Rengging Slide,  LS-10 NH-13",28.101692,95.271861,Debris Slide NA,"1485 AP/E-Siang/82P8/2021/LS10 Arunachal Pradesh East Siang  Rengging Slide,  LS-10 NH-13 28.101692 95.271861 Debris Slide NA"
1498,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, Rengging Slide",28.114742,95.273582,Debris Slide NA,"1498 AP/E-Siang/82P8/2022/LS50 Arunachal Pradesh East Siang Rengging Slide NH-13, Rengging Slide 28.114742 95.273582 Debris Slide NA"
1502,AR/S/82P04/2022/006,Arunachal Pradesh,East Siang NH-13 Slide 6 NH-13,28.131694,95.136186,Debris slide NA,1502 AR/S/82P04/2022/006 Arunachal Pradesh East Siang NH-13 Slide 6 NH-13 28.131694 95.136186 Debris slide NA
1503,AR/US/82P04/2022/026,Arunachal Pradesh,West Siang Northwest of Rotung Slide 1 NH-13,28.133611,95.11125,Debris Slide NA,1503 AR/US/82P04/2022/026 Arunachal Pradesh West Siang Northwest of Rotung Slide 1 NH-13 28.133611 95.11125 Debris Slide NA
1504,AR/S/82P04/2022/028,Arunachal Pradesh,Siang Pangin Slide 1 NH-13,28.133611,95.11125,Debris Slide NA,1504 AR/S/82P04/2022/028 Arunachal Pradesh Siang Pangin Slide 1 NH-13 28.133611 95.11125 Debris Slide NA
1505,AR/WS/82L16/2022/090,Arunachal Pradesh,West Siang Pakam Slide NH-13,28.133778,94.788,Soil Slide NA,1505 AR/WS/82L16/2022/090 Arunachal Pradesh West Siang Pakam Slide NH-13 28.133778 94.788 Soil Slide NA
1508,AR/S/82P04/2022/005,Arunachal Pradesh,East Siang NH-13 Slide 5 NH-13,28.135056,95.145444,Soil slide NA,1508 AR/S/82P04/2022/005 Arunachal Pradesh East Siang NH-13 Slide 5 NH-13 28.135056 95.145444 Soil slide NA
1514,AR/US/82P04/2022/089,Arunachal Pradesh,West Siang N of Pakam Slide 1 NH-13,28.141139,94.786583,Soil Slide NA,1514 AR/US/82P04/2022/089 Arunachal Pradesh West Siang N of Pakam Slide 1 NH-13 28.141139 94.786583 Soil Slide NA
1516,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, Towards Rengging",28.141514,95.289198,Debris Slide NA,"1516 AP/E-Siang/82P8/2022/LS51 Arunachal Pradesh East Siang Rengging Slide NH-13, Towards Rengging 28.141514 95.289198 Debris Slide NA"
1517,,Arunachal Pradesh,"East Siang Rengging Slide NH-13, Rengging Slide",28.142304,95.288126,Debris Slide NA,"1517 AP/E-Siang/82P8/2022/LS52 Arunachal Pradesh East Siang Rengging Slide NH-13, Rengging Slide 28.142304 95.288126 Debris Slide NA"
1518,AR/ES/82P04/2022/001,Arunachal Pradesh,East Siang NH-13 Slide 1 NH-13,28.1425,95.239194,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,1518 AR/ES/82P04/2022/001 Arunachal Pradesh East Siang NH-13 Slide 1 NH-13 28.1425 95.239194 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
1520,,Arunachal Pradesh,"East Siang LS-53, Mebo river slide NH-13",28.142551,95.287886,Debris Slide NA,"1520 AP/E-Siang/82P8/2022/LS53 Arunachal Pradesh East Siang LS-53, Mebo river slide NH-13 28.142551 95.287886 Debris Slide NA"
1521,,Arunachal Pradesh,East Siang LS-54 NH-13,28.143839,95.285971,Debris Slide NA,1521 AP/E-Siang/82P8/2022/LS54 Arunachal Pradesh East Siang LS-54 NH-13 28.143839 95.285971 Debris Slide NA
1522,AR/ES/82P04/2022/002,Arunachal Pradesh,East Siang NH-13 Slide 2 NH-13,28.145306,95.239167,Rock Slide NA,1522 AR/ES/82P04/2022/002 Arunachal Pradesh East Siang NH-13 Slide 2 NH-13 28.145306 95.239167 Rock Slide NA
1524,,Arunachal Pradesh,East Siang LS-22 NH-13,28.145629,95.275805,Debris Slide NA,1524 AP/E-Siang/82P8/2021/LS22 Arunachal Pradesh East Siang LS-22 NH-13 28.145629 95.275805 Debris Slide NA
1525,,Arunachal Pradesh,East Siang LS-23 NH-13,28.145847,95.273686,Rock Wedge failure NA,1525 AP/E-Siang/82P8/2021/LS23 Arunachal Pradesh East Siang LS-23 NH-13 28.145847 95.273686 Rock Wedge failure NA
1526,AR/ES/82P04/2022/003,Arunachal Pradesh,East Siang NH-13 Slide 3 NH-13,28.147806,95.224833,Debris Slide NA,1526 AR/ES/82P04/2022/003 Arunachal Pradesh East Siang NH-13 Slide 3 NH-13 28.147806 95.224833 Debris Slide NA
1527,,Arunachal Pradesh,East Siang LS-55 NH-13,28.14787,95.279987,Debris Slide NA,1527 AP/E-Siang/82P8/2022/LS55 Arunachal Pradesh East Siang LS-55 NH-13 28.14787 95.279987 Debris Slide NA
1528,AP/LDV/82P11/2022/LS56,Arunachal Pradesh,"East Siang Dambuk Slide NH-13, Dambuk area",28.148417,95.277964,Debris Slide NA,"1528 AP/LDV/82P11/2022/LS56 Arunachal Pradesh East Siang Dambuk Slide NH-13, Dambuk area 28.148417 95.277964 Debris Slide NA"
1529,AP/LDV/82P11/2022/LS57,Arunachal Pradesh,East Siang Dambuk Slide NH-13 Dambuk,28.149568,95.277177,Debris Slide NA,1529 AP/LDV/82P11/2022/LS57 Arunachal Pradesh East Siang Dambuk Slide NH-13 Dambuk 28.149568 95.277177 Debris Slide NA
1530,AP/LDV/82P11/2022/LS58,Arunachal Pradesh,"East Siang Dambuk Slide NH-13, Dambuk",28.150741,95.275122,Debris Slide NA,"1530 AP/LDV/82P11/2022/LS58 Arunachal Pradesh East Siang Dambuk Slide NH-13, Dambuk 28.150741 95.275122 Debris Slide NA"
1532,AR/S/82P04/2022/007,Arunachal Pradesh,East Siang NH-13 Slide 7 NH-13,28.153028,95.218294,Debris slide NA,1532 AR/S/82P04/2022/007 Arunachal Pradesh East Siang NH-13 Slide 7 NH-13 28.153028 95.218294 Debris slide NA
1533,AR/ES/82P04/2022/004,Arunachal Pradesh,East Siang NH-13 Slide 4 NH-13,28.154111,95.181694,Rock Slide NA,1533 AR/ES/82P04/2022/004 Arunachal Pradesh East Siang NH-13 Slide 4 NH-13 28.154111 95.181694 Rock Slide NA
1534,AP/LDV/82P11/2022/LS59,Arunachal Pradesh,East Siang LS-59 NH-13,28.160664,95.446755,Debris Slide NA,1534 AP/LDV/82P11/2022/LS59 Arunachal Pradesh East Siang LS-59 NH-13 28.160664 95.446755 Debris Slide NA
1535,AP/LDV/82P11/2022/LS60,Arunachal Pradesh,"East Siang LS-60 NH-13, Kapang Valley, near 602 mile stone",28.160853,95.446925,Debris Slide NA,"1535 AP/LDV/82P11/2022/LS60 Arunachal Pradesh East Siang LS-60 NH-13, Kapang Valley, near 602 mile stone 28.160853 95.446925 Debris Slide NA"
1537,AP/LDV/82P11/2022/LS61,Arunachal Pradesh,"East Siang Roing-Dambuk Slide NH-13, Towards Roing- Dambuk",28.162497,95.441244,Debris Slide NA,"1537 AP/LDV/82P11/2022/LS61 Arunachal Pradesh East Siang Roing-Dambuk Slide NH-13, Towards Roing- Dambuk 28.162497 95.441244 Debris Slide NA"
1538,AP/LDV/82P11/2022/LS62,Arunachal Pradesh,East Siang LS-62 NH-13,28.16317,95.450433,Debris Slide NA,1538 AP/LDV/82P11/2022/LS62 Arunachal Pradesh East Siang LS-62 NH-13 28.16317 95.450433 Debris Slide NA
1539,AP/LDV/82P11/2022/LS63,Arunachal Pradesh,"East Siang LS-63 NH-13, Aohali",28.163322,95.459813,Debris Slide NA,"1539 AP/LDV/82P11/2022/LS63 Arunachal Pradesh East Siang LS-63 NH-13, Aohali 28.163322 95.459813 Debris Slide NA"
1540,AP/LDV/82P11/2022/LS64,Arunachal Pradesh,East Siang LS-64 NH-13,28.163691,95.458,Debris Slide NA,1540 AP/LDV/82P11/2022/LS64 Arunachal Pradesh East Siang LS-64 NH-13 28.163691 95.458 Debris Slide NA
1541,AR/WS/82L16/2022/088,Arunachal Pradesh,West Siang Aalo Slide 1 NH-13,28.16425,94.792417,Debris Slide NA,1541 AR/WS/82L16/2022/088 Arunachal Pradesh West Siang Aalo Slide 1 NH-13 28.16425 94.792417 Debris Slide NA
1542,AP/LDV/82P11/2022/LS66,Arunachal Pradesh,"East Siang LS-66 NH-13, Mebo- 50km mile stone",28.165684,95.462909,Debris Slide NA,"1542 AP/LDV/82P11/2022/LS66 Arunachal Pradesh East Siang LS-66 NH-13, Mebo- 50km mile stone 28.165684 95.462909 Debris Slide NA"
1543,AP/LDV/82P11/2022/LS65,Arunachal Pradesh,East Siang LS-65 NH-13,28.165711,95.46208,Debris Slide NA,1543 AP/LDV/82P11/2022/LS65 Arunachal Pradesh East Siang LS-65 NH-13 28.165711 95.46208 Debris Slide NA
1544,AP/LDV/82P11/2022/LS67,Arunachal Pradesh,East Siang LS-67 NH-13,28.167982,95.431764,Debris Slide NA,1544 AP/LDV/82P11/2022/LS67 Arunachal Pradesh East Siang LS-67 NH-13 28.167982 95.431764 Debris Slide NA
1545,AR/ES/82P04/2022/009,Arunachal Pradesh,East Siang Pasighat-Yingkiong road Slide 2 NH-13 (Pasighat-Yingkiong road),28.169389,95.235722,Debris slide NA,1545 AR/ES/82P04/2022/009 Arunachal Pradesh East Siang Pasighat-Yingkiong road Slide 2 NH-13 (Pasighat-Yingkiong road) 28.169389 95.235722 Debris slide NA
1548,AR/ES/82P04/2022/008,Arunachal Pradesh,East Siang Pasighat-Yingkiong road Slide 1 NH-13 (Pasighat-Yingkiong road),28.169611,95.240639,Debris slide NA,1548 AR/ES/82P04/2022/008 Arunachal Pradesh East Siang Pasighat-Yingkiong road Slide 1 NH-13 (Pasighat-Yingkiong road) 28.169611 95.240639 Debris slide NA
1551,AR/US/82P04/2022/027,Arunachal Pradesh,West Siang Northwest of Yembung camp Slide NH-13,28.174806,95.025111,Debris Slide NA,1551 AR/US/82P04/2022/027 Arunachal Pradesh West Siang Northwest of Yembung camp Slide NH-13 28.174806 95.025111 Debris Slide NA
1552,AR/S/82P04/2022/029,Arunachal Pradesh,Siang South of Jeru Slide 1 NH-13,28.174806,95.025111,Debris slide NA,1552 AR/S/82P04/2022/029 Arunachal Pradesh Siang South of Jeru Slide 1 NH-13 28.174806 95.025111 Debris slide NA
1560,AP/LDV/82P11/2022/LS68,Arunachal Pradesh,East Siang LS-68 NH-13,28.181365,95.470102,Rock Wedge failure NA,1560 AP/LDV/82P11/2022/LS68 Arunachal Pradesh East Siang LS-68 NH-13 28.181365 95.470102 Rock Wedge failure NA
1561,AP/LDV/82P11/2022/LS69,Arunachal Pradesh,"East Siang LS-69 NH-13, near bridge",28.181834,95.469828,Debris Slide NA,"1561 AP/LDV/82P11/2022/LS69 Arunachal Pradesh East Siang LS-69 NH-13, near bridge 28.181834 95.469828 Debris Slide NA"
1564,AP/LDV/82P11/2022/LS70,Arunachal Pradesh,East Siang LS-70 NH-13,28.186582,95.471126,Rock Wedge failure NA,1564 AP/LDV/82P11/2022/LS70 Arunachal Pradesh East Siang LS-70 NH-13 28.186582 95.471126 Rock Wedge failure NA
1565,AR/US/82P04/2022/015,Arunachal Pradesh,Upper Siang Pasighat-Yingkiong road Slide 6 NH-13 (Pasighat-Yingkiong road),28.1915,95.225917,Debris Slide NA,1565 AR/US/82P04/2022/015 Arunachal Pradesh Upper Siang Pasighat-Yingkiong road Slide 6 NH-13 (Pasighat-Yingkiong road) 28.1915 95.225917 Debris Slide NA
1567,AR/S/82P04/2022/030,Arunachal Pradesh,Siang South of Jeru Slide 2 NH-13,28.192444,94.984917,Debris Slide NA,1567 AR/S/82P04/2022/030 Arunachal Pradesh Siang South of Jeru Slide 2 NH-13 28.192444 94.984917 Debris Slide NA
1577,AR/WS/82L16/2022/078,Arunachal Pradesh,West Siang Jomlo-Mongku Slide 1 NH-13,28.202667,94.828417,Debris Slide NA,1577 AR/WS/82L16/2022/078 Arunachal Pradesh West Siang Jomlo-Mongku Slide 1 NH-13 28.202667 94.828417 Debris Slide NA
